seed,phase,epoch,training_metric,validation_derivative_normalized_mse,validation_derivative_q21_global_relative_l2,validation_lead_1_full_relative_l2,validation_lead_1_q21_relative_l2
20260821,derivative_checkpoint,0,,,,0.028121658875606956,0.7429275098443031
20260821,short_free_rollout,1,0.09188282549381256,,,0.026517257343512027,0.6370385491847992
20260821,short_free_rollout,2,0.07810903241857886,,,0.026449103883933275,0.633277183175087
20260821,lead_1_truncated_rollout_stage_1,1,0.18730512046255166,,,0.026164041662123053,0.6081136792898179
20260821,lead_1_truncated_rollout_stage_2,1,0.17258536966207122,,,0.02606634542811662,0.5981469857692718
20260822,derivative,1,0.4832427032470703,0.3391165002687048,0.5543705759281273,,
20260822,derivative,2,0.24496064693927766,0.2732592290893663,0.4976375373260871,,
20260822,derivative,3,0.1887335147023201,0.2470883447691158,0.47320773952284256,,
20260822,derivative,4,0.15793983927965163,0.2320315434191725,0.45856323006154615,,
20260822,derivative,5,0.13811598278284073,0.21892109040189825,0.4454197953352196,,
20260822,derivative,6,0.12236648448705673,0.21364763885727733,0.4400223767880439,,
20260822,derivative,7,0.11111630268096924,0.20987480330739344,0.4361198587550933,,
20260822,derivative,8,0.10193497712016106,0.2060230898027803,0.4320993949271966,,
20260822,derivative,9,0.09436309865713119,0.20348188387323898,0.4294262487302397,,
20260822,derivative,10,0.08784923262596131,0.20285907026442873,0.4287685512867183,,
20260822,derivative,11,0.08255568675994873,0.2000681987878197,0.4258089074872764,,
20260822,derivative,12,0.07821527318954467,0.1992274898882315,0.42491331670137383,,
20260822,derivative,13,0.07459059973955154,0.19957831640997029,0.42528727533187627,,
20260822,derivative,14,0.07167567147016525,0.1993449180687021,0.4250385266027615,,
20260822,derivative,15,0.06943491529226303,0.19896393785215333,0.42463217217630117,,
20260822,derivative,16,0.06767402161955834,0.19919797670412664,0.4248818425196123,,
20260822,derivative,17,0.06636673146486283,0.19935296209451916,0.4250470996963625,,
20260822,derivative,18,0.06547708278894425,0.1996486079172755,0.4253621601209958,,
20260822,derivative_checkpoint,0,,,,0.028259099891874938,0.7615101137757301
20260822,short_free_rollout,1,0.09368430264294147,,,0.026752275612670927,0.6672839541733265
20260822,short_free_rollout,2,0.07957076642662286,,,0.026619856923352926,0.6568271127343178
20260822,lead_1_truncated_rollout_stage_1,1,0.19437220362325514,,,0.02632176473736763,0.628436078876257
20260822,lead_1_truncated_rollout_stage_2,1,0.17954959084900715,,,0.026216258860658856,0.6177086244523525
