cohort,experiment,method,seed,absolute_time,lead_time,population,finite_count,mean,sample_sd,median,p95,maximum
test_2260_2439,S4,FNO-3D,fixed,6.5,1.5,180,180,0.37502855226578896,0.08432519396553934,0.3637805313924978,0.5107008187695408,0.6689654644385215
test_2260_2439,S4,FNO-3D,fixed,7.0,2.0,180,180,0.513983282107723,0.10332610738923685,0.5089363703520042,0.6728292715184643,0.8128269300317982
test_2260_2439,S4,FNO-3D,fixed,7.5,2.5,180,180,0.6536371074146249,0.10629114964195531,0.6697396027848342,0.8082684663176145,0.9373054255151738
test_2260_2439,S4,FNO-3D,fixed,8.0,3.0,180,180,0.7706882630911234,0.09935507455474175,0.7816515029397215,0.9157034743754633,0.9948711183248233
test_2260_2439,S4,U-NO,0,5.0,0.0,180,180,0.0,0.0,0.0,0.0,0.0
test_2260_2439,S4,U-NO,0,5.5,0.5,180,180,0.019264694166920768,0.00645182756247926,0.017632978430644854,0.0327086476836456,0.04292606757519716
test_2260_2439,S4,U-NO,0,6.0,1.0,180,180,0.03164009306923321,0.010561798979469388,0.028868215584038105,0.04988257971322217,0.09475415516421908
test_2260_2439,S4,U-NO,0,6.5,1.5,180,180,0.05211800374509309,0.01840556939701205,0.04837492999125794,0.08398010906539138,0.16707681037690872
test_2260_2439,S4,U-NO,0,7.0,2.0,180,180,0.08178552024220131,0.03188073878464585,0.074316205420983,0.13773614349206542,0.3048703346012729
test_2260_2439,S4,U-NO,0,7.5,2.5,180,180,0.12276767038787449,0.04969444199297632,0.11337325715064855,0.2040785594749019,0.4289026509846269
test_2260_2439,S4,U-NO,0,8.0,3.0,180,180,0.17380511174121643,0.07266514989961596,0.16018280273272922,0.28064366724549283,0.6924593761247094
test_2260_2439,S4,U-Net,0,5.0,0.0,180,180,0.0,0.0,0.0,0.0,0.0
test_2260_2439,S4,U-Net,0,5.5,0.5,180,180,0.19441619961539217,0.04527914625068891,0.18695341089676776,0.2788209358795671,0.323080063101398
test_2260_2439,S4,U-Net,0,6.0,1.0,180,180,0.5118305860152192,0.08961320407465721,0.4990523289796547,0.6763998859188743,0.7720672001805347
test_2260_2439,S4,U-Net,0,6.5,1.5,180,180,0.8469705638289184,0.12865375455675793,0.8257750528005501,1.0701351895419646,1.2173306062154121
test_2260_2439,S4,U-Net,0,7.0,2.0,180,180,1.1783659968643316,0.15876164237772286,1.1655374699316727,1.4600686206125377,1.72104088616831
test_2260_2439,S4,U-Net,0,7.5,2.5,180,180,1.483530248938648,0.17600934866522766,1.4614935369024507,1.783615849383273,2.2510885466610424
test_2260_2439,S4,U-Net,0,8.0,3.0,180,180,1.7479356935287889,0.20258780131042325,1.7065015923566156,2.12531893643275,2.527961467559645
