experiment,cohort,task,band,method,seed,mean_relative_l2,finite_count,population,training_regime
S1,test_1040_1219,N64_t6_frequency_band,P21,GIFT-Lite (high-frequency branch disabled),fixed,0.036162464991945795,180,180,GIFT-Lite
S1,test_1040_1219,N64_t6_frequency_band,Q21,GIFT-Lite,20260820,0.675419693038493,180,180,GIFT-Lite
S1,test_1040_1219,N64_t6_frequency_band,Q21,GIFT-Lite,20260821,0.6688127537276846,180,180,GIFT-Lite
S1,test_1040_1219,N64_t6_frequency_band,Q21,GIFT-Lite,20260822,0.6831018711819395,180,180,GIFT-Lite
S1,test_1040_1219,N64_t6_frequency_band,Q21,GIFT-Lite (high-frequency branch disabled),fixed,1.8206747376622596,180,180,GIFT-Lite
S1,test_1040_1219,N64_t6_frequency_band,P22-31,GIFT-Lite,20260820,0.6693510380478548,180,180,GIFT-Lite
S1,test_1040_1219,N64_t6_frequency_band,P22-31,GIFT-Lite,20260821,0.6632537033206335,180,180,GIFT-Lite
S1,test_1040_1219,N64_t6_frequency_band,P22-31,GIFT-Lite,20260822,0.6768903038450766,180,180,GIFT-Lite
S1,test_1040_1219,N64_t6_frequency_band,P22-31,GIFT-Lite (high-frequency branch disabled),fixed,1.8085858526723617,180,180,GIFT-Lite
S1,test_1040_1219,N64_t6_frequency_band,outside P31,GIFT-Lite,20260820,0.7564282138584025,180,180,GIFT-Lite
S1,test_1040_1219,N64_t6_frequency_band,outside P31,GIFT-Lite,20260821,0.7421797172168637,180,180,GIFT-Lite
S1,test_1040_1219,N64_t6_frequency_band,outside P31,GIFT-Lite,20260822,0.7632531188427865,180,180,GIFT-Lite
S1,test_1040_1219,N64_t6_frequency_band,outside P31,GIFT-Lite (high-frequency branch disabled),fixed,2.026121255635919,180,180,GIFT-Lite
S1,test_1040_1219,N96_t6_frequency_band,P21,GIFT-Lite,20260820,0.03602181111167843,180,180,GIFT-Lite
S1,test_1040_1219,N96_t6_frequency_band,P21,GIFT-Lite,20260821,0.03602181334498589,180,180,GIFT-Lite
S1,test_1040_1219,N96_t6_frequency_band,P21,GIFT-Lite,20260822,0.036021814841442804,180,180,GIFT-Lite
S1,test_1040_1219,N96_t6_frequency_band,P21,GIFT-Lite (high-frequency branch disabled),fixed,0.036021814533264515,180,180,GIFT-Lite
S1,test_1040_1219,N96_t6_frequency_band,Q21,GIFT-Lite,20260820,0.6506957235989325,180,180,GIFT-Lite
