experiment,training_regime,subject,method,seed,absolute_time,lead_time,population,finite_count,mean,sample_sd,median,p95,maximum
S2,GIFT,all trajectories,GIFT,20260821,7.5,2.5,180,180,0.0288714729208361,0.00875778350164575,0.027805896787547545,0.04498614030622529,0.062269187956574816
S2,GIFT,all trajectories,GIFT,20260821,8.0,3.0,180,180,0.036493612573944664,0.013004013815979015,0.03370449534566389,0.06209094715874644,0.07886784309785293
S2,GIFT,all trajectories,GIFT (recursive local correction disabled),20260821,5.0,0.0,180,180,0.0,0.0,0.0,0.0,0.0
S2,GIFT,all trajectories,GIFT (recursive local correction disabled),20260821,5.5,0.5,180,180,0.021936091190322804,0.004873135618654643,0.02126776135052236,0.03089877075865401,0.0355910984234874
S2,GIFT,all trajectories,GIFT (recursive local correction disabled),20260821,6.0,1.0,180,180,0.02107246626944373,0.0047596118051369055,0.020557123774883224,0.028835653525123708,0.03714026205972334
S2,GIFT,all trajectories,GIFT (recursive local correction disabled),20260821,6.5,1.5,180,180,0.021667651528391528,0.005544686812844476,0.02058274498254778,0.03243600527462565,0.03859477806377779
S2,GIFT,all trajectories,GIFT (recursive local correction disabled),20260821,7.0,2.0,180,180,0.024009696582297124,0.006573996751081138,0.022514588029492414,0.03655111991473652,0.04713054106687609
S2,GIFT,all trajectories,GIFT (recursive local correction disabled),20260821,7.5,2.5,180,180,0.02887089155274313,0.008752630711314427,0.02780439806441007,0.044943084824654575,0.06229685911500553
S2,GIFT,all trajectories,GIFT (recursive local correction disabled),20260821,8.0,3.0,180,180,0.03649254889991137,0.012996565372815587,0.03369659104748981,0.062149870869132824,0.07882541303172765
S2,GIFT,all trajectories,GIFT,20260822,5.0,0.0,180,180,0.0,0.0,0.0,0.0,0.0
S2,GIFT,all trajectories,GIFT,20260822,5.5,0.5,180,180,0.02191310894860232,0.004851534767752152,0.021385522082106357,0.030182847926578996,0.03569248211495418
S2,GIFT,all trajectories,GIFT,20260822,6.0,1.0,180,180,0.021071718736852783,0.004770139467057483,0.020490471506031817,0.028750236982335316,0.037532742984179294
S2,GIFT,all trajectories,GIFT,20260822,6.5,1.5,180,180,0.02166647323277451,0.005550620177938519,0.02058986455188743,0.03229210099560298,0.038566524509506254
S2,GIFT,all trajectories,GIFT,20260822,7.0,2.0,180,180,0.024003868172920474,0.006562509747974785,0.022479818743628782,0.03667241602778627,0.047243995460509204
