cohort,resolution,metric,experiment,method,seed,absolute_time,lead_time,population,finite_count,mean,sample_sd,median,p95,maximum
test_1040_1219,N64,full_relative_l2,M3,GIFT-Lite,20260822,5.8,0.7999999999999998,180,180,0.0393379246548363,0.0096198590784987,0.0383007495947316,0.0594804508274239,0.0720834949502767
test_1040_1219,N64,full_relative_l2,M3,GIFT-Lite,20260822,5.9,0.9000000000000004,180,180,0.0400364047882855,0.0103654877657266,0.0385198514801781,0.0584668912209219,0.0829413050799858
test_1040_1219,N64,full_relative_l2,M3,GIFT-Lite,20260822,6.0,1.0,180,180,0.0408684981668373,0.0116608554281949,0.0387803509689255,0.0578390171686294,0.1099955493600471
test_1040_1219,N64,full_relative_l2,M3,FNO-2D,fixed,5.0,0.0,180,180,0.0,0.0,0.0,0.0,0.0
test_1040_1219,N64,full_relative_l2,M3,FNO-2D,fixed,5.1,0.0999999999999996,180,180,0.1750429034165993,0.0237572422413299,0.1749579577886106,0.2164279306895829,0.2373549106426726
test_1040_1219,N64,full_relative_l2,M3,FNO-2D,fixed,5.2,0.2000000000000001,180,180,0.1914722598401026,0.0251173075083378,0.1910909547597502,0.2322171778084346,0.2729528540862751
test_1040_1219,N64,full_relative_l2,M3,FNO-2D,fixed,5.3,0.2999999999999998,180,180,0.2020773518122012,0.0265519991629937,0.2022695808226975,0.2433060520397097,0.3369795292773582
test_1040_1219,N64,full_relative_l2,M3,FNO-2D,fixed,5.4,0.4000000000000003,180,180,0.2138049036393431,0.0293159504601839,0.2117116629356152,0.2542336919943752,0.4043945076561762
test_1040_1219,N64,full_relative_l2,M3,FNO-2D,fixed,5.5,0.5,180,180,0.2210379764284518,0.0320163382940393,0.2183893340805873,0.265938408313105,0.4476752262958789
test_1040_1219,N64,full_relative_l2,M3,FNO-2D,fixed,5.6,0.5999999999999996,180,180,0.2297544529207857,0.0338290441724339,0.2260590151787966,0.2763309929200932,0.471127479107117
test_1040_1219,N64,full_relative_l2,M3,FNO-2D,fixed,5.7,0.7000000000000002,180,180,0.2386428548580696,0.035033925031749,0.2361272961838498,0.2850738003398969,0.4798157698436997
test_1040_1219,N64,full_relative_l2,M3,FNO-2D,fixed,5.8,0.7999999999999998,180,180,0.2496189459607927,0.0370135122981031,0.2476691645723792,0.3025898129605614,0.4832391093454893
test_1040_1219,N64,full_relative_l2,M3,FNO-2D,fixed,5.9,0.9000000000000004,180,180,0.2595297967119158,0.0393359608871417,0.256138908784111,0.3238789067018194,0.4701183120615112
test_1040_1219,N64,full_relative_l2,M3,FNO-2D,fixed,6.0,1.0,180,180,0.2714673043535317,0.042230182470055,0.2667282704991632,0.347176582876909,0.4603982947038978
test_1040_1219,N64,full_relative_l2,M3,FNO-3D,fixed,5.0,0.0,180,180,0.0,0.0,0.0,0.0,0.0
test_1040_1219,N64,full_relative_l2,M3,FNO-3D,fixed,5.1,0.0999999999999996,180,180,0.1685118798708076,0.0239799233518801,0.1693340544578876,0.2115888220765388,0.2258580507784223
test_1040_1219,N64,full_relative_l2,M3,FNO-3D,fixed,5.2,0.2000000000000001,180,180,0.2467390687113904,0.0338234032440077,0.2508459078793287,0.2995204278926461,0.3321547994921597
test_1040_1219,N64,full_relative_l2,M3,FNO-3D,fixed,5.3,0.2999999999999998,180,180,0.2756394422676756,0.0320476851390191,0.2752287151970864,0.3251854642748765,0.3646839813622289
test_1040_1219,N64,full_relative_l2,M3,FNO-3D,fixed,5.4,0.4000000000000003,180,180,0.2942783826899884,0.0329606634147881,0.2936166755364185,0.3469713657709512,0.4116981187787359
test_1040_1219,N64,full_relative_l2,M3,FNO-3D,fixed,5.5,0.5,180,180,0.3151749467303842,0.0351888745045996,0.3168321605872417,0.3718771091246355,0.4584938227698486
test_1040_1219,N64,full_relative_l2,M3,FNO-3D,fixed,5.6,0.5999999999999996,180,180,0.3396782534252135,0.0378406854563848,0.341800220969893,0.39751473274108,0.496196153975956
test_1040_1219,N64,full_relative_l2,M3,FNO-3D,fixed,5.7,0.7000000000000002,180,180,0.3660175475707656,0.0414381089563447,0.3670418541321164,0.4324159393577572,0.5292577318525675
test_1040_1219,N64,full_relative_l2,M3,FNO-3D,fixed,5.8,0.7999999999999998,180,180,0.3932057381144225,0.0458377205677438,0.3920503236149246,0.4672465932592812,0.5572805461995667
test_1040_1219,N64,full_relative_l2,M3,FNO-3D,fixed,5.9,0.9000000000000004,180,180,0.421500871305497,0.0503765185516156,0.4188002081126968,0.5039496008531176,0.5804474131790606
test_1040_1219,N64,full_relative_l2,M3,FNO-3D,fixed,6.0,1.0,180,180,0.4506821852143042,0.054430601994863,0.4461737396800613,0.5448834525799763,0.5991701710018671
test_1040_1219,N96,full_relative_l2,M3,GIFT-Lite,20260820,5.0,0.0,180,180,0.0,0.0,0.0,0.0,0.0
test_1040_1219,N96,full_relative_l2,M3,GIFT-Lite,20260820,5.1,0.0999999999999996,180,180,0.0191246176946441,0.0038244380818915,0.0190851738576374,0.025730485885316,0.0287103194775203
test_1040_1219,N96,full_relative_l2,M3,GIFT-Lite,20260820,5.2,0.2000000000000001,180,180,0.0267294069488255,0.00530912235931,0.0262008007538427,0.0356854493977772,0.0404159567301973
test_1040_1219,N96,full_relative_l2,M3,GIFT-Lite,20260820,5.3,0.2999999999999998,180,180,0.0304320841171258,0.0061615035613539,0.02941983301954,0.0413760236292298,0.0494434767264499
test_1040_1219,N96,full_relative_l2,M3,GIFT-Lite,20260820,5.4,0.4000000000000003,180,180,0.0327996908088978,0.0069057832246026,0.0319671436522257,0.0447500162520014,0.0536700668795553
test_1040_1219,N96,full_relative_l2,M3,GIFT-Lite,20260820,5.5,0.5,180,180,0.034519282449995,0.007659479492084,0.033695151001069,0.0479271523696712,0.0606926259586532
test_1040_1219,N96,full_relative_l2,M3,GIFT-Lite,20260820,5.6,0.5999999999999996,180,180,0.035969169852538,0.008334768862315,0.0348283838847564,0.0509533421342092,0.0660704532233476
